Type,Categorie,Valeur,Actif,Priorite,Raison,Date Création,Impact
BONUS,Titre,africa,TRUE,29,Zone géographique cible (EN),19/12/2025,
BONUS,Titre,afrique,TRUE,12,Zone géographique cible,20/12/2025,
BONUS,Description,afrique,TRUE,50,Zone géographique cible,19/12/2025,
BLACKLIST,Entreprise,Age d'Or,TRUE,1,Réseau de franchises SAP,20/12/2025,
BONUS,Entreprise,Agence,TRUE,8,Agence publique,19/12/2025,
BLACKLIST,Titre,agent,TRUE,1,Niveau opérationnel,19/12/2025,
BLACKLIST,Titre,agent d'entretien,TRUE,1,Services opérationnels,19/12/2025,
BLACKLIST,Titre,agent de nettoyage,TRUE,1,Services opérationnels,19/12/2025,
BONUS,Titre,agriculture biologique,TRUE,31,Agriculture bio,19/12/2025,
BONUS,Description,agriculture biologique,TRUE,38,Agriculture bio,19/12/2025,
BONUS,Titre,agriculture durable,TRUE,20,Agro durable,20/12/2025,
BONUS,Description,agriculture durable,TRUE,46,Agro durable,19/12/2025,
BONUS,Titre,agro-écologie,TRUE,25,Cœur de métier (avec tiret),20/12/2025,
BONUS,Description,agro-écologie,TRUE,44,Cœur de métier (avec tiret),19/12/2025,
BONUS,Titre,agroecologie,TRUE,25,Cœur de métier (sans accent),20/12/2025,
BONUS,Description,agroecologie,TRUE,43,Cœur de métier (sans accent),19/12/2025,
BONUS,Titre,agroécologie,TRUE,33,Cœur de métier / Passion,20/12/2025,
BLACKLIST,Titre,aide,TRUE,1,Niveau subalterne,15/12/2025,
BLACKLIST,Titre,aide-comptable,TRUE,1,Finance junior,19/12/2025,
PENALTY,Titre,aide-soignant,TRUE,-50,Santé opérationnel,19/12/2025,
BLACKLIST,Titre,alternance,TRUE,1,Type contrat non pertinent,19/12/2025,
BLACKLIST,Titre,alternant,TRUE,1,Type contrat non pertinent,15/12/2025,
BLACKLIST,Entreprise,Amelis,TRUE,1,Réseau de franchises SAP,19/12/2025,
BONUS,Description,anglais bilingue,TRUE,28,Compétence linguistique,19/12/2025,
PENALTY,Description,anglais courant,TRUE,-5,Compétence linguistique,19/12/2025,
BLACKLIST,Titre,animateur commercial,TRUE,1,Animation vente,19/12/2025,
BONUS,Description,animation d'équipe,TRUE,8,Management,19/12/2025,
BLACKLIST,Entreprise,APEF,TRUE,1,Réseau de franchises SAP,19/12/2025,
BONUS,Description,appels d'offres,TRUE,8,Marchés publics,19/12/2025,
BLACKLIST,Description,apport financier,TRUE,1,Investissement requis = franchise,19/12/2025,
BLACKLIST,Description,apport personnel,TRUE,1,Investissement requis = franchise,19/12/2025,
BLACKLIST,Titre,apprenti,TRUE,1,Type contrat non pertinent,19/12/2025,
WHITELIST,Titre,area manager,TRUE,1,Management zone,19/12/2025,
PENALTY,Titre,assistant,TRUE,-50,Sécurité anti-bruit,19/12/2025,
BLACKLIST,Titre,assistant,TRUE,1,Niveau hiérarchique trop bas,15/12/2025,
PENALTY,Description,assistant,TRUE,-50,Sécurité anti-bruit,15/12/2025,
BLACKLIST,Titre,assistante,TRUE,1,Niveau hiérarchique trop bas,20/12/2025,
BONUS,Titre,association,TRUE,5,Secteur associatif,19/12/2025,
BONUS,Description,association,TRUE,5,Secteur associatif,19/12/2025,
PENALTY,Description,astreintes,TRUE,-30,Contrainte horaire,20/12/2025,
WHITELIST,Titre,attaché,TRUE,2,Institutionnel (vérifier niveau),19/12/2025,
PENALTY,Contrat,auto-entrepreneur,TRUE,-40,Statut précaire,19/12/2025,
BLACKLIST,Titre,auxiliaire,TRUE,1,Niveau subalterne,19/12/2025,
WHITELIST,Entreprise,AVSF,TRUE,1,ONG agro vétérinaires,19/12/2025,
BLACKLIST,Entreprise,AXEO,TRUE,1,Réseau de franchises SAP,19/12/2025,
BLACKLIST,Description,bac pro,TRUE,1,Niveau diplôme insuffisant,19/12/2025,
BONUS,Description,bac+5,TRUE,0,Niveau master,19/12/2025,
BONUS,Description,bailleurs de fonds,TRUE,15,Connaissance secteur dev,19/12/2025,
WHITELIST,Entreprise,Banque Mondiale,TRUE,1,Institution financière cible,19/12/2025,
BONUS,Description,biodechets,TRUE,50,Protection environnement,19/12/2025,
BONUS,Entreprise,Biocoop,TRUE,10,Distribution bio,20/12/2025,
BONUS,Titre,biodechets,TRUE,50,Protection environnement,19/12/2025,
BONUS,Titre,biodiversité,TRUE,15,Protection environnement,18/12/2025,
BONUS,Description,biodiversité,TRUE,15,Protection environnement,19/12/2025,
BONUS,Titre,biodiversity,TRUE,23,Protection environnement (EN),20/12/2025,
BONUS,Description,biodiversity,TRUE,15,Protection environnement (EN),19/12/2025,
BONUS,Description,budget,TRUE,5,Responsabilité budgétaire,20/12/2025,
BLACKLIST,Description,caces obligatoire,TRUE,1,Logistique opérationnelle,19/12/2025,
BONUS,Description,cadre logique,TRUE,12,Méthodologie projet dev,19/12/2025,
BONUS,Description,cadre supérieur,TRUE,10,Niveau hiérarchique,19/12/2025,
BLACKLIST,Titre,caissier,TRUE,1,Commerce opérationnel,19/12/2025,
BLACKLIST,Titre,caissière,TRUE,1,Commerce opérationnel,19/12/2025,
BLACKLIST,Description,cap bep,TRUE,1,Niveau diplôme insuffisant,19/12/2025,
BONUS,Titre,capacity building,TRUE,18,Mot-clé expert dév international,19/12/2025,
BONUS,Description,capacity building,TRUE,25,Mot-clé expert dév international,19/12/2025,
BONUS,Titre,carbone,TRUE,10,Bilan carbone décarbonation,20/12/2025,
BONUS,Description,carbone,TRUE,10,Bilan carbone décarbonation,19/12/2025,
WHITELIST,Entreprise,CARE,TRUE,1,ONG développement majeure,20/12/2025,
BLACKLIST,Titre,cariste,TRUE,1,Logistique opérationnelle,19/12/2025,
BLACKLIST,Entreprise,Carrefour Proximité,TRUE,1,Réseau de franchises commerce,19/12/2025,
WHITELIST,Entreprise,CCFD,TRUE,1,ONG développement solidaire,19/12/2025,
PENALTY,Contrat,CDD,TRUE,-3,Moins stable que CDI,19/12/2025,
BONUS,Contrat,CDI,TRUE,25,Sécurité d'emploi,19/12/2025,
BLACKLIST,Entreprise,Centre Services,TRUE,1,Réseau de franchises SAP,,
BONUS,Description,certification,TRUE,5,Labels qualité,19/12/2025,
WHITELIST,Entreprise,CGIAR,TRUE,1,Consortium recherche agricole,19/12/2025,
BLACKLIST,Titre,chargé de clientèle,TRUE,2,Relation client (sauf grands comptes),19/12/2025,
WHITELIST,Titre,chargé de mission,TRUE,2,Mission spécifique (vérifier niveau),19/12/2025,
BLACKLIST,Titre,chauffeur,TRUE,1,Transport opérationnel,19/12/2025,
BLACKLIST,Titre,chef d'entreprise,TRUE,1,Souvent franchise déguisée,19/12/2025,
WHITELIST,Titre,chef de,TRUE,1,Niveau management,19/12/2025,
WHITELIST,Titre,chef de mission,TRUE,1,Vocabulaire ONG/Instit,19/12/2025,
WHITELIST,Titre,chef de projet,TRUE,1,Gestion projets,15/12/2025,
WHITELIST,Entreprise,CIMMYT,TRUE,1,Centre recherche maïs blé,19/12/2025,
WHITELIST,Entreprise,CIRAD,TRUE,1,Recherche agronomique internationale,19/12/2025,
BONUS,Titre,circular economy,TRUE,20,Expertise forte (EN),19/12/2025,
BONUS,Description,circular economy,TRUE,31,Expertise forte (EN),19/12/2025,
BONUS,Titre,climat,TRUE,12,Enjeux climatiques,20/12/2025,
BONUS,Description,climat,TRUE,12,Enjeux climatiques,19/12/2025,
BONUS,Description,CODIR,TRUE,15,Niveau direction,20/12/2025,
BONUS,Description,COMEX,TRUE,18,Niveau exécutif,19/12/2025,
BONUS,Description,comité de direction,TRUE,15,Niveau CODIR,19/12/2025,
BLACKLIST,Titre,commercial sédentaire,TRUE,1,Vente sédentaire,19/12/2025,
BLACKLIST,Titre,commercial terrain,TRUE,2,Profil exécutant non souhaité,19/12/2025,
BLACKLIST,Entreprise,Compagnie des Lavandières,TRUE,2,Vente terrain (sauf direction),15/12/2025,
BLACKLIST,Titre,comptable,TRUE,1,Réseau de franchises,19/12/2025,
BLACKLIST,Titre,conducteur,TRUE,2,Finance opérationnelle,19/12/2025,
BONUS,Description,conseil d'administration,TRUE,1,Transport opérationnel,19/12/2025,
BLACKLIST,Titre,conseiller clientèle,TRUE,15,Niveau gouvernance,19/12/2025,
WHITELIST,Titre,conseiller principal,TRUE,1,Relation client opérationnelle,19/12/2025,
WHITELIST,Titre,conseiller technique,TRUE,1,Senior advisor,19/12/2025,
WHITELIST,Titre,consultant senior,TRUE,1,Expertise technique,19/12/2025,
BONUS,Description,contexte international,TRUE,1,Positionnement expert,19/12/2025,
BONUS,Titre,coopération,TRUE,1,Positionnement expert,15/12/2025,
BONUS,Description,coopération,TRUE,1,Positionnement expert,19/12/2025,
BONUS,Entreprise,Coopérative,TRUE,10,International,20/12/2025,
WHITELIST,Titre,coordinateur,TRUE,10,Coopération internationale,19/12/2025,
WHITELIST,Titre,coordinatrice,TRUE,8,ESS,19/12/2025,
WHITELIST,Titre,country director,TRUE,1,Rôle clé en ONG/Assoc,19/12/2025,
WHITELIST,Titre,country manager,TRUE,1,Rôle clé en ONG/Assoc,15/12/2025,
PENALTY,Titre,courtier,TRUE,-13,Rôle clé en ONG/Assoc,19/12/2025,
BLACKLIST,Entreprise,Coviva,TRUE,1,Dimension internationale,19/12/2025,
BLACKLIST,Titre,créateur d'entreprise,TRUE,1,Dimension internationale,15/12/2025,
PENALTY,Description,créer votre agence,TRUE,-21,Dimension internationale,19/12/2025,
PENALTY,Description,créer votre entreprise,TRUE,-37,Dimension internationale,15/12/2025,
PENALTY,Description,créez votre entreprise,TRUE,-35,Secteur non ciblé,19/12/2025,
BLACKLIST,Entreprise,CRIT,TRUE,1,Secteur non ciblé,15/12/2025,
BONUS,Titre,CSR,TRUE,1,Réseau de franchises SAP,19/12/2025,
BONUS,Description,CSR,TRUE,1,Réseau de franchises SAP,19/12/2025,
BLACKLIST,Titre,cuisinier,TRUE,1,Franchise déguisée,20/12/2025,
BONUS,Entreprise,Danone,TRUE,1,Franchise,19/12/2025,
BLACKLIST,Titre,data analyst,TRUE,1,Franchise déguisée,19/12/2025,
BLACKLIST,Titre,débutant,TRUE,1,Franchise déguisée,19/12/2025,
BLACKLIST,Description,débutant accepté,TRUE,2,Interim,19/12/2025,
BONUS,Description,définir la stratégie,TRUE,15,Corporate Social Responsibility,19/12/2025,
WHITELIST,Titre,délégué général,TRUE,1,Restauration opérationnel,19/12/2025,
WHITELIST,Entreprise,Département,TRUE,8,Grand groupe engagé,19/12/2025,
BONUS,Description,déplacements fréquents,TRUE,10,Hors sujet / Niveau insuffisant,19/12/2025,
BONUS,Titre,développement durable,TRUE,32,Tech - hors compétence cible,15/12/2025,
BONUS,Description,développement durable,TRUE,26,Tech - hors compétence cible,19/12/2025,
BLACKLIST,Titre,développeur,TRUE,1,Niveau hiérarchique trop bas,20/12/2025,
PENALTY,Description,devenez patron,TRUE,-34,Indicateur de poste junior,19/12/2025,
PENALTY,Description,devenez votre propre patron,TRUE,-46,Indicateur de poste junior,19/12/2025,
PENALTY,Description,devenir franchisé,TRUE,-31,Responsabilité stratégique,15/12/2025,
BLACKLIST,Titre,devops,TRUE,1,Direction association,19/12/2025,
WHITELIST,Entreprise,DFID,TRUE,2,Collectivité territoriale,19/12/2025,
BONUS,Titre,digital,TRUE,-3,Contrainte mobilité,19/12/2025,
BONUS,Description,digital,TRUE,-3,Contrainte mobilité,19/12/2025,
WHITELIST,Titre,directeur,TRUE,10,Thématique centrale,20/12/2025,
WHITELIST,Titre,directeur adjoint,TRUE,15,Thématique centrale,15/12/2025,
BLACKLIST,Titre,directeur d'agence franchisé,TRUE,1,Hors compétence cible,19/12/2025,
WHITELIST,Titre,directeur de département,TRUE,1,Tech - hors compétence cible,15/12/2025,
WHITELIST,Titre,directeur de filiale,TRUE,1,Franchise déguisée,19/12/2025,
WHITELIST,Titre,directeur de pôle,TRUE,1,Franchise déguisée,19/12/2025,
WHITELIST,Titre,directeur de programme,TRUE,1,Franchise,19/12/2025,
BONUS,Titre,directeur de projet,TRUE,15,Tech - hors compétence cible,19/12/2025,
WHITELIST,Titre,directeur développement,TRUE,1,Coopération britannique,19/12/2025,
WHITELIST,Titre,directeur développement durable,TRUE,8,Transformation digitale,19/12/2025,
WHITELIST,Titre,directeur exécutif,TRUE,1,Cible niveau hiérarchique,19/12/2025,
WHITELIST,Titre,directeur général,TRUE,1,Direction,15/12/2025,
WHITELIST,Titre,directeur innovation,TRUE,1,Franchise,19/12/2025,
WHITELIST,Titre,directeur opérationnel,TRUE,1,Direction entité,19/12/2025,
WHITELIST,Titre,directeur pays,TRUE,1,Direction entité,19/12/2025,
BONUS,Titre,directeur régional,TRUE,13,Direction entité,19/12/2025,
WHITELIST,Titre,directeur RSE,TRUE,1,Gestion programmes,19/12/2025,
WHITELIST,Titre,directeur scientifique,TRUE,1,Direction projets,19/12/2025,
BONUS,Titre,directeur stratégie,TRUE,15,Direction développement,19/12/2025,
WHITELIST,Titre,directeur technique,TRUE,1,DD - cœur cible,19/12/2025,
WHITELIST,Titre,directrice,TRUE,1,Top management,19/12/2025,
PENALTY,Description,doctorat,TRUE,-20,Top management,19/12/2025,
BLACKLIST,Entreprise,Domaliance,TRUE,1,Direction innovation,19/12/2025,
BLACKLIST,Entreprise,Domidom,TRUE,1,Direction opérations,19/12/2025,
BONUS,Description,donors,TRUE,1,Direction internationale,19/12/2025,
BLACKLIST,Description,droit d'entrée,TRUE,1,Direction territoriale,19/12/2025,
BONUS,Entreprise,Ecocert,TRUE,1,Direction RSE - cœur cible,19/12/2025,
BONUS,Titre,économie circulaire,TRUE,50,Direction R&D,19/12/2025,
BONUS,Description,économie circulaire,TRUE,50,Direction R&D,19/12/2025,
BLACKLIST,Titre,employé,TRUE,1,Direction stratégique,20/12/2025,
BLACKLIST,Titre,employée,TRUE,1,Direction technique,19/12/2025,
BONUS,Description,encadrement d'équipe,TRUE,1,Cible niveau hiérarchique,19/12/2025,
BLACKLIST,Titre,entrepreneur,TRUE,8,Niveau expertise,19/12/2025,
BONUS,Titre,environment,TRUE,10,Réseau de franchises SAP,19/12/2025,
BONUS,Description,environment,TRUE,10,Réseau de franchises SAP,19/12/2025,
BONUS,Titre,environnement,TRUE,10,Réseau de franchises SAP,20/12/2025,
BONUS,Description,environnement,TRUE,20,Réseau de franchises SAP,19/12/2025,
BONUS,Description,environnement multiculturel,TRUE,15,Bailleurs (EN),20/12/2025,
BONUS,Description,équipe pluridisciplinaire,TRUE,1,Franchise,19/12/2025,
BONUS,Titre,ESG,TRUE,10,Certification bio,19/12/2025,
BONUS,Description,ESG,TRUE,10,Certification bio,19/12/2025,
BLACKLIST,Entreprise,ESN,TRUE,15,Expertise forte,20/12/2025,
BONUS,Entreprise,ESUS,TRUE,20,Expertise forte,15/12/2025,
WHITELIST,Entreprise,European Commission,TRUE,1,Niveau employé,19/12/2025,
BONUS,Description,evaluation,TRUE,1,Niveau employé,19/12/2025,
BLACKLIST,Entreprise,Expectra,TRUE,12,Management,19/12/2025,
BONUS,Description,expérience confirmée,TRUE,2,Souvent franchise,19/12/2025,
BONUS,Description,expérience internationale,TRUE,10,Thématique environnementale (EN),19/12/2025,
BONUS,Description,expérience significative,TRUE,10,Thématique environnementale,19/12/2025,
WHITELIST,Titre,expert,TRUE,8,International,19/12/2025,
WHITELIST,Titre,expert international,TRUE,10,Management transverse,19/12/2025,
WHITELIST,Titre,expert technique,TRUE,12,Critères extra-financiers,19/12/2025,
WHITELIST,Entreprise,FAO,TRUE,1,Souvent incompatible avec postes cadre sup,19/12/2025,
BLACKLIST,Entreprise,Feu Vert,TRUE,1,SSII souvent incompatible cadre sup,15/12/2025,
WHITELIST,Entreprise,FIDA,TRUE,10,Entreprise solidaire,19/12/2025,
BONUS,Titre,filière agricole,TRUE,21,Commission Européenne,19/12/2025,
BONUS,Description,filière agricole,TRUE,20,Commission Européenne,19/12/2025,
WHITELIST,Entreprise,FNE,TRUE,8,Évaluation projet,20/12/2025,
WHITELIST,Entreprise,FNH,TRUE,2,Interim,19/12/2025,
BONUS,Entreprise,Fondation,TRUE,12,Dimension internationale,19/12/2025,
BONUS,Titre,fondation,TRUE,26,Profil expérimenté,19/12/2025,
BONUS,Description,fondation,TRUE,8,Profil expérimenté,19/12/2025,
WHITELIST,Entreprise,Fondation GoodPlanet,TRUE,8,Profil expérimenté,20/12/2025,
BONUS,Titre,food security,TRUE,20,Positionnement expert,19/12/2025,
BONUS,Description,food security,TRUE,20,Positionnement expert,19/12/2025,
BONUS,Titre,food systems,TRUE,20,Dimension internationale,20/12/2025,
BONUS,Description,food systems,TRUE,20,Dimension internationale,19/12/2025,
BONUS,Titre,foundation,TRUE,20,Valorisant pour ton profil,20/12/2025,
BONUS,Description,foundation,TRUE,20,Valorisant pour ton profil,15/12/2025,
WHITELIST,Entreprise,France Nature Environnement,TRUE,1,Valorisant pour ton profil,20/12/2025,
BLACKLIST,Entreprise,FRANCHI DOM,TRUE,1,Cible prioritaire Agro,19/12/2025,
BLACKLIST,Titre,franchise,TRUE,1,Cible prioritaire Agro,15/12/2025,
BONUS,Titre,franchisé,TRUE,4,Réseau de franchises auto,19/12/2025,
BLACKLIST,Entreprise,Franprix,TRUE,1,Fonds International Dév Agricole,19/12/2025,
PENALTY,Contrat,freelance,TRUE,-4,Chaîne de valeur agricole,19/12/2025,
BONUS,Description,fundraising,TRUE,1,Fédération environnement,19/12/2025,
BLACKLIST,Titre,gardien,TRUE,1,Fondation Nicolas Hulot,19/12/2025,
BLACKLIST,Entreprise,Générale des Services,TRUE,8,Philanthropie,19/12/2025,
BLACKLIST,Titre,gérant,TRUE,10,Philanthropie,19/12/2025,
BLACKLIST,Titre,gérant mandataire,TRUE,1,Fondation environnement,19/12/2025,
BONUS,Description,gestion budgétaire,TRUE,18,Sécurité alimentaire (EN),19/12/2025,
BONUS,Description,gestion d'équipe,TRUE,15,Systèmes alimentaires (EN),19/12/2025,
PENALTY,Titre,gestionnaire de paie,TRUE,-24,Philanthropie (EN),19/12/2025,
WHITELIST,Entreprise,GIZ,TRUE,1,Fédération environnement,19/12/2025,
BONUS,Description,gouvernance,TRUE,1,Réseau de franchises SAP,19/12/2025,
BONUS,Description,grande école,TRUE,1,Offre de franchise pas de salariat,19/12/2025,
WHITELIST,Entreprise,Greenpeace,TRUE,1,Offre de franchise pas de salariat,19/12/2025,
WHITELIST,Entreprise,GRET,TRUE,1,Réseau de franchises commerce,19/12/2025,
WHITELIST,Entreprise,Handicap International,TRUE,-10,Moins prioritaire que CDI,19/12/2025,
WHITELIST,Titre,head of,TRUE,-5,Moins prioritaire que CDI/Contrat cadre,19/12/2025,
BLACKLIST,Titre,hôte,TRUE,10,Levée de fonds,15/12/2025,
PENALTY,Titre,hôtesse,TRUE,-24,Sécurité opérationnel,19/12/2025,
BONUS,Titre,humanitaire,TRUE,20,Réseau de franchises SAP,19/12/2025,
BONUS,Description,humanitaire,TRUE,20,Réseau de franchises SAP,19/12/2025,
BONUS,Titre,humanitarian,TRUE,20,Souvent franchise ou commerce,20/12/2025,
BONUS,Description,humanitarian,TRUE,20,Souvent franchise ou commerce,19/12/2025,
WHITELIST,Entreprise,Humanité & Inclusion,TRUE,1,Franchise déguisée,20/12/2025,
WHITELIST,Entreprise,ICRISAT,TRUE,5,Compétence cadre,19/12/2025,
WHITELIST,Entreprise,IFAD,TRUE,10,Compétence cadre,15/12/2025,
WHITELIST,Entreprise,IITA,TRUE,10,Management,19/12/2025,
BONUS,Titre,impact,TRUE,1,RH opérationnel,19/12/2025,
BONUS,Description,impact,TRUE,1,RH opérationnel,19/12/2025,
BONUS,Description,impact measurement,TRUE,1,Coopération allemande,20/12/2025,
PENALTY,Contrat,indépendant,TRUE,10,Niveau direction,19/12/2025,
BONUS,Description,indicateurs,TRUE,5,Formation élite,19/12/2025,
BLACKLIST,Titre,infirmier,TRUE,1,ONG environnement,19/12/2025,
BONUS,Description,ingénieur,TRUE,1,ONG développement technique,19/12/2025,
BONUS,Titre,innovation,TRUE,10,ONG développement,19/12/2025,
BONUS,Description,innovation,TRUE,10,ONG développement,19/12/2025,
WHITELIST,Entreprise,INRAE,TRUE,1,Cible niveau hiérarchique (Anglais),20/12/2025,
BONUS,Entreprise,Institut,TRUE,1,Cible niveau hiérarchique (Anglais),15/12/2025,
BLACKLIST,Titre,intégrateur,TRUE,1,Accueil/Commerce,19/12/2025,
PENALTY,Contrat,intérim,TRUE,1,Accueil/Commerce,19/12/2025,
BONUS,Titre,international,TRUE,8,Secteur humanitaire,19/12/2025,
BONUS,Description,international,TRUE,8,Secteur humanitaire,19/12/2025,
BLACKLIST,Description,investissement initial,TRUE,8,Secteur humanitaire (EN),20/12/2025,
BLACKLIST,Description,investissement personnel,TRUE,1,ONG développement,19/12/2025,
WHITELIST,Entreprise,IRD,TRUE,1,Centre recherche zones arides,19/12/2025,
WHITELIST,Entreprise,ISABU,TRUE,1,Fonds International Dév Agricole (EN),19/12/2025,
